state_sch_id,sch_name,level,stn_membership,stn_white_pct,stn_male_pct,stn_attendance_pct,stn_chronic_absence_pct,stn_safety_pct,stn_ell_pct,stn_frpl_pct,stn_gifted_pct,stn_homeless_pct,stn_iep_pct,stn_migrant_pct,tchr_experience_avg,tchr_new_pct,tchr_ma_plus_pct,tchr_national_board_pct,tchr_turnover_pct,tchr_waivers_pct,tell_students,tell_community,tell_leadership,dist_seek_funding,dist_building_funding,title1_status,student_teacher_ratio,prof_rd,prof_ma,cluster,pc1,pc2
029141070,Cumberland County Elementary School,ES,426,0.9178403755868545,0.5117370892018779,0.9520000000000001,0.13145539906103287,0.04929577464788732,0,0.8215962441314554,0.18309859154929578,0.06103286384976526,0.24178403755868544,0.018779342723004695,10.7,10,0.7,0,0.13333333333333333,0.13333333333333333,0.963,0.958,0.9279999999999999,4698,687580,3,0.07692307692307693,62,53.8,10,-0.5841030712216382,-1.5869216761574074
011143010,Edna L. Toliver Intermediate School,ES,594,0.5858585858585859,0.5336700336700336,0.9570000000000001,0.14814814814814814,0.12794612794612795,0.06902356902356903,0.6885521885521886,0.13131313131313133,0.013468013468013467,0.1717171717171717,0.021885521885521887,8.8,12.5,0.7189999999999999,0.09375,NA,0,NA,NA,NA,4200,1403724,3,0.07692307692307693,50.8,44,1,-0.5230777886982373,1.4725514202777013
011143003,Mary G. Hogsett Primary School,ES,268,0.6231343283582089,0.5335820895522388,0.94,0.22014925373134328,0.05970149253731343,0.05970149253731343,0.753731343283582,0,0.022388059701492536,0.503731343283582,0.05223880597014925,13.3,9.1,0.909,0.13636363636363635,NA,0,NA,NA,NA,4200,1403724,3,0.1,NA,NA,8,-1.2479668924383975,-1.1763750488920934
030145085,Audubon Elementary School,ES,398,0.7889447236180904,0.5251256281407035,0.9640000000000001,0.04522613065326633,0.04773869346733668,0.035175879396984924,0.5653266331658291,0.0728643216080402,0.007537688442211055,0.3341708542713568,0.005025125628140704,11.9,11.1,0.741,0.037037037037037035,0.2222222222222222,0.037037037037037035,0.833,0.922,0.88,3975,11698982,3,0.06666666666666667,60.3,54.8,21,0.49483169837865626,0.14576416468244818
030145150,Country Heights Elementary School,ES,449,0.9064587973273942,0.44988864142538976,0.9620000000000001,0.08908685968819599,0.017817371937639197,0.004454342984409799,0.42316258351893093,0.07126948775055679,0,0.18930957683741648,0.0022271714922048997,9.2,14.8,0.741,0.14814814814814814,0.25925925925925924,0.14814814814814814,0.9790000000000001,0.991,0.971,3975,11698982,3,0.0625,61.8,58.1,4,1.4253801786088076,0.00870963619008474
030145040,Deer Park Elementary School,ES,517,0.7775628626692457,0.47195357833655704,0.961,0.09864603481624758,0.0019342359767891683,0.09671179883945841,0.6189555125725339,0.015473887814313346,0,0.1895551257253385,0.019342359767891684,16.4,0,0.8059999999999999,0.06451612903225806,0.06451612903225806,0,0.971,0.97,0.9359999999999999,3975,11698982,3,0.0625,67.4,58.5,2,2.6209449338107835,-0.12118937986532681
030145007,East View Elementary School,ES,492,0.8536585365853658,0.5060975609756098,0.961,0.07723577235772358,0.046747967479674794,0.07113821138211382,0.6422764227642277,0.08333333333333333,0.006097560975609756,0.20934959349593496,0.0020325203252032522,11.2,6.5,0.7090000000000001,0,0.03225806451612903,0.03225806451612903,0.92,0.884,0.9520000000000001,3975,11698982,3,0.06666666666666667,51.1,52.3,5,1.0095547676136563,0.1549449390447939
030145145,F T Burns Elementary School,ES,491,0.6334012219959266,0.48676171079429736,0.956,0.09164969450101833,0.04276985743380855,0.17515274949083504,0.7617107942973523,0.006109979633401222,0.010183299389002037,0.19959266802443992,0.008146639511201629,10.1,0,0.828,0.034482758620689655,0.06896551724137931,0,0.873,0.8590000000000001,0.956,3975,11698982,3,0.06666666666666667,59.3,59.7,21,0.8193748511675935,0.9683066955347943
030145025,Highland Elementary School,ES,509,0.8113948919449901,0.5265225933202358,0.966,0.060903732809430254,0.0275049115913556,0.07269155206286837,0.37721021611001965,0.025540275049115914,0.009823182711198428,0.2043222003929273,0.03339882121807466,16.8,0,0.8619999999999999,0.10344827586206896,0.1724137931034483,0,0.711,0.938,0.861,3975,11698982,1,0.05555555555555555,61.5,63.6,29,3.3903259365926153,1.272958200086725
030145006,Meadow Lands Elementary School,ES,416,0.8052884615384616,0.5288461538461539,0.955,0.13701923076923078,0.038461538461538464,0.06490384615384616,0.6754807692307693,0.06971153846153846,0.016826923076923076,0.2403846153846154,0.014423076923076924,13,6.7,0.8,0.06666666666666667,0.13333333333333333,0,0.7609999999999999,0.91,0.907,3975,11698982,3,0.0625,48.3,40.3,21,0.5185915211941016,0.17096729790114384
